"Urgențe medicale datorate consumului de droguri","","","",""
"","","","",""
"Distribuția cazurilor de urgențe medicale datorate consumului de droguri, în funcție de tipul drogului și sex","","","",""
"","Canabis","Stimulanți","Opiacee","NSP"
"Masculin","659","173","314","865"
"Feminin","120","40","100","186"
"","","","",""
"Distribuția cazurilor de urgențe medicale datorate consumului de droguri, în funcție de tipul drogului și vârstă","","","",""
"","Canabis","Stimulanți","Opiacee","NSP"
"<25","460","89","96","631"
"25-34","251","80","149","317"
">35","68","44","169","103"
"","","","",""
"Distribuția cazurilor de urgențe medicale datorate consumului de droguri, în funcție de tipul drogului și calea de administrare","","","",""
"","Canabis","Stimulanți","Opiacee","NSP"
"Oral/fumat/prizat","756","98","0","570"
"Altele","23","115","223","453"
"Injectabil","0","0","191","28"
"","","","",""
"Distribuția cazurilor de urgențe medicale datorate consumului de droguri, în funcție de tipul drogului și modelul de consum","","","",""
"","Canabis","Stimulanți","Opiacee","NSP"
"Consum singular","516","102","253","878"
"Consum combinat","263","111","161","173"
"","","","",""
"Distribuția cazurilor de urgențe medicale datorate consumului de droguri, în funcție de tipul drogului și diagnosticul de urgență","","","",""
"","Canabis","Stimulanți","Opiacee","NSP"
"Intoxicație","543","163","60","757"
"Utilizare nocivă","14","4","5","16"
"Dependență","39","6","296","96"
"Sevraj","8","3","32","27"
"Tulburări de comportament","132","24","13","122"
"Supradoză","1","1","5","3"
"Alte diagnostice","0","0","0","0"
"Testare toxicologică","42","12","3","30"
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
